student_id,level,class,score_English,score_Mathematics,score_Science,score_Mother_Tongue,score_Humanities,score_Art,avg_score,score_std,failing_subjects,days_absent_sem1,days_absent_sem2,total_absences,attendance_rate,chronic_absent,cca,has_cca,cca_hours_weekly,cca_leadership,discipline_incidents,teacher_concern_flag,risk_score,risk_tier
SGS0030,Sec 1,1E1,40.6,45.3,61.6,67.1,51.0,47.3,52.2,10.2,3,0,4,4,98.0,False,Debate,True,6.7,False,2,1,66.5,High
SGS0031,Sec 3,3N1,40.7,34.3,54.5,56.3,29.8,50.5,44.4,11.0,3,2,10,12,94.0,False,Art Club,True,5.8,False,2,1,73.1,High
SGS0036,Sec 4,4E2,57.1,53.6,49.6,41.5,42.2,43.1,47.8,6.6,4,7,8,15,92.5,False,Band,True,3.7,False,1,1,72.9,High
SGS0069,Sec 1,1E1,28.6,34.0,40.4,31.6,30.3,40.0,34.2,5.0,6,7,4,11,94.5,False,Student Council,True,1.8,False,2,1,100.0,High
SGS0091,Sec 1,1N2,45.9,38.7,27.1,53.6,63.0,40.2,44.8,12.5,4,1,3,4,98.0,False,Drama,True,3.1,False,0,1,67.0,High
SGS0094,Sec 3,3N1,47.4,59.4,34.1,52.5,26.0,48.9,44.7,12.4,4,9,5,14,93.0,False,Band,True,3.0,False,0,1,69.1,High
SGS0097,Sec 2,2E2,42.3,46.7,57.3,64.7,46.4,62.3,53.3,9.4,3,2,3,5,97.5,False,Drama,True,3.0,False,1,1,60.5,High
SGS0099,Sec 1,1E2,35.3,59.5,49.0,64.5,54.3,44.5,51.2,10.6,3,6,9,15,92.5,False,Swimming,True,4.5,True,1,1,63.9,High
SGS0107,Sec 2,2E1,41.5,38.0,69.4,39.3,60.6,26.6,45.9,15.9,4,0,0,0,100.0,False,Art Club,True,1.0,False,1,1,71.0,High
SGS0115,Sec 3,3N1,46.5,66.3,51.0,65.2,36.2,39.5,50.8,12.7,3,1,6,7,96.5,False,Badminton,True,1.0,False,1,1,62.5,High
SGS0129,Sec 1,1E2,43.9,40.6,35.4,39.3,47.0,53.4,43.3,6.4,5,0,0,0,100.0,False,Robotics Club,True,3.8,False,0,1,74.0,High
SGS0131,Sec 2,2E2,30.5,49.0,40.8,50.0,34.0,44.7,41.5,8.0,5,5,1,6,97.0,False,Badminton,True,2.7,False,1,1,81.9,High
SGS0135,Sec 4,4N1,49.6,41.5,47.9,54.3,67.1,64.1,54.1,9.9,3,7,13,20,90.0,False,Art Club,True,6.5,False,1,1,63.1,High
SGS0175,Sec 3,3E1,33.4,57.8,45.7,48.3,65.3,55.7,51.0,11.1,3,7,5,12,94.0,False,Student Council,True,1.5,False,1,1,63.4,High
SGS0181,Sec 2,2E2,47.2,70.8,40.2,49.7,33.0,47.6,48.1,12.7,5,1,3,4,98.0,False,Debate,True,4.8,True,0,1,71.9,High
SGS0194,Sec 3,3N2,62.7,34.4,51.8,56.7,46.1,59.8,51.9,10.4,2,7,3,10,95.0,False,Student Council,True,5.8,False,2,1,61.0,High
SGS0212,Sec 3,3N2,26.3,49.7,69.0,56.2,37.9,42.9,47.0,14.9,4,8,6,14,93.0,False,Badminton,True,3.1,False,0,1,67.7,High
SGS0238,Sec 1,1N2,36.1,44.9,52.9,59.4,67.5,48.4,51.5,11.1,3,5,3,8,96.0,False,Drama,True,4.7,False,1,1,62.2,High
SGS0243,Sec 4,4N1,57.6,49.9,65.1,49.4,47.6,49.6,53.2,6.8,4,9,5,14,93.0,False,Basketball,True,7.3,False,1,1,69.4,High
SGS0260,Sec 1,1N1,50.1,48.5,60.4,44.9,36.5,55.2,49.3,8.3,3,2,1,3,98.5,False,Drama,True,2.7,False,1,1,62.6,High
SGS0348,Sec 1,1N1,29.3,68.5,49.8,46.8,45.1,50.0,48.2,12.5,4,5,8,13,93.5,False,Robotics Club,True,4.2,False,0,1,66.7,High
SGS0356,Sec 3,3N2,37.7,49.3,61.6,33.9,40.0,51.2,45.6,10.3,4,8,3,11,94.5,False,Environmental Club,True,1.8,False,0,1,67.9,High
SGS0392,Sec 2,2E2,54.1,45.6,46.0,44.4,44.6,71.5,51.0,10.7,4,3,4,7,96.5,False,Art Club,True,3.1,False,0,1,63.7,High
SGS0400,Sec 3,3E1,45.9,43.3,48.3,41.8,35.7,35.7,41.8,5.2,6,6,0,6,97.0,False,Choir,True,2.0,False,0,1,83.1,High
SGS0414,Sec 3,3N2,70.4,47.4,45.5,41.1,49.8,46.0,50.0,10.4,5,2,2,4,98.0,False,Art Club,True,5.8,False,1,1,76.2,High
SGS0436,Sec 3,3E2,37.0,44.5,55.9,57.7,47.7,68.3,51.8,11.1,3,10,4,14,93.0,False,Band,True,3.0,True,1,1,63.3,High
SGS0454,Sec 4,4N1,30.1,49.8,54.9,46.4,47.7,50.6,46.6,8.6,4,5,5,10,95.0,False,Band,True,4.6,False,0,1,67.1,High
SGS0460,Sec 1,1N1,44.1,43.5,61.9,44.2,42.1,59.0,49.1,8.8,4,5,8,13,93.5,False,Basketball,True,1.0,False,0,1,66.2,High
SGS0484,Sec 3,3E1,30.9,38.9,53.8,51.5,25.7,37.2,39.7,11.1,4,4,1,5,97.5,False,Robotics Club,True,2.0,False,0,1,70.4,High
SGS0486,Sec 4,4N1,56.1,49.2,44.2,46.6,38.3,64.4,49.8,9.2,4,6,10,16,92.0,False,Basketball,True,3.5,False,0,1,66.4,High
